Sector,Track,Job Role,Job Role Description,Performance Expectation
Air Transport,Flight Operations (AGO),Senior Officer (Flight Control) / Senior Officer (Crew Scheduling),"The Senior Officer (Flight Control)/Senior Officer (Crew Scheduling) maintains flight control operations by monitoring aircraft performances, movements and operating conditions. He/She reviews and amends crew rosters to ensure optimal deployment and compliance with regulatory requirements. During irregular operations, he assigns resources to execute contingency plans as well as assists authorities with investigating root causes of irregular operations. He collaborates with stakeholders to recover flight schedules and escalate reports of breaches in safety and/or security to the relevant authorities. The Senior Officer (Flight Control)/Senior Officer (Crew Scheduling) is able to deploy manpower and prepare schedules efficiently with his strong resource management skills. He possesses good communication and interpersonal skills which allow him to work effectively in a team and give clear and confident instructions to the pilots. In addition, he is comfortable working in an enclosed environment for long periods of time. The Senior Officer (Flight Control)/Senior Officer (Crew Scheduling) works in shifts and is able to maintain high performance and alertness during the flight watch period. He has good eyesight and hearing abilities as well as strong mental and physical health. Moreover, he possesses a good command of written English in order to prepare documentation and reports.",
Air Transport,Flight Operations (AGO),Supervisor (Flight Control) / Supervisor (Crew Scheduling),"The Supervisor (Flight Control)/Supervisor (Crew Scheduling) coordinates resource requirements and vital operational functions in flight control. He/She performs impact analyses of external issues on flight operations during flight watch. He establishes flight plans and implements changes to flight control operations. He investigates causes and estimates the cost impact of irregular operations. He plays a supervisory role by managing crew scheduling and tracks flying hours accrued by the flight crew. He upholds the safety and security standards by carrying out checks and investigating the root causes of breaches. He also coaches his team members and develops on-the-job training plans. The Supervisor (Flight Control)/Supervisor (Crew Scheduling) has a proficient knowledge of airline flight operations and requirements. He maintains high performance and alertness within the flight watch period, overseeing schedules and manpower deployment whilst working in shifts. He is comfortable working in an enclosed environment for long periods of time. In addition, he possesses good eyesight and hearing abilities as well as strong mental and physical health. He has excellent communication and interpersonal skills for managing a team and interacting with people at all levels. Furthermore, he is able to remain calm under pressure to handle stressful situations with efficiency.",
Air Transport,Flight Operations (AGO),Vice President,"The Vice President is responsible for the strategic delivery and alignment of flight control operations. He/She endorses policy manuals and establishes response models to manage irregular operations. During irregular operations, he addresses queries and provides advice to internal and external stakeholders. He strategises organisation safety and security programmes and establishes the standards for the organisation. He leads the succession planning, capability development and employee engagement initiatives for the organisation. He forges and builds international and professional networks to promote the airline. As the Vice President for Flight Operations, he possesses exceptional communication and interpersonal skills which allow him to build business and professional networks and communicate strategic plans. He is able to pay remarkable attention to details and has situational awareness capabilities. In addition, he is able to display excellent leadership, organisational and people management skills in order to coach staff and teams effectively. He is highly competent in negotiation and solving problems which drives the creation of new services to increase stakeholder and customer satisfaction.",
Air Transport,Ground Services,Executive (Ground Services),"The Executive (Ground Services) oversees activities relating to the audit of ground service standards and develops partnerships with a wide range of audiences and stakeholders. He/She reviews service standard agreements and develops action plans to improve service efficiency for the airline. He conducts rate reviews for ground handlers regarding pricing, service quality and scope of work. In addition, he also plans cost estimates for contracts with ground handling organisations. He proposes process changes to improve passenger safety and/or security standards. He contributes to organisational development by developing on-the-job training programmes and workplace learning plans. With foresight and highly developed analytical capabilities, the Executive (Ground Services) is able to develop action plans and provide recommendations to address any identified service delivery gaps. He develops strong rapport with the stakeholders by recognising their interests and engaging them in making mutually beneficial decisions. He has exceptional communication and interpersonal skills to communicate effectively within teams. He is also customer-focused, results-oriented and able to work under pressure with good multi-tasking skills.",
Air Transport,Ground Services,Ground Services Officer,"The Ground Services Officer is responsible for the delivery of quality passenger services through providing assistance to passengers and addressing their queries. He/She communicates and monitors service standards of ground handling agents. He mentors and trains ground handling agents and ensures compliance with established standards. He follows up with passengers safety and security concerns and queries. In the event of flight disruptions or delays, he provides assistance to passengers. The Ground Services Officer is customer-centric and provides excellent service to the customers and passengers. He is comfortable with face-to-face interactions with the various stakeholders whilst working in shifts. He possesses adequate computer literacy in order to obtain real-time flight information and access the reservation and booking systems. Furthermore, he has good communication and interpersonal skills which allow him to work effectively in a team and execute expected service standards of the airline.",
Air Transport,Ground Services,Manager (Ground Services),"The Manager (Ground Services) is responsible for the negotiation of contract fees with stakeholders and implementation of changes to ground service operations. He/She ascertains and quantifies the risk of engaging different ground service providers. He develops plans to support new service improvement programmes and recommends enhancements to ground services policies and standards. He coaches internal team members and external ground service providers to deliver quality services. He cultivates business relationships with airport agencies, authorities, customers and vendors. The Manager (Ground Services) possesses exceptional leadership and communication skills which allow him to lead and communicate with a wide range of audiences and stakeholders. He develops strong rapport with the stakeholders by recognising their interests, establishing common ground and engaging them in making mutually beneficial decisions. Furthermore, he has excellent planning and people management skills to manage teams and staff effectively. He is also highly competent in negotiation with outstanding analytical and problem-solving skills to attain favourable contract terms from ground service providers.",
Air Transport,Ground Services,Senior Ground Services Officer,"The Senior Ground Services Officer manages ground service standards by communicating service standards, executing policies and auditing ground services. He/She coordinates the day-to-day passenger service operations and identifies learning needs of ground handling agents in order to address gaps in their service delivery. He carries out precautionary measures and escalate reports of breaches in safety and/or security standards to relevant authorities. Being detail-oriented, the Senior Ground Services Officer audits the service standards executed by the ground handling agents and officers. He possesses good customer service skills to facilitate face-to-face interactions with the various stakeholders whilst working in shifts. He has good computer skills in order to obtain real-time flight information and access the reservation and booking systems. He is able to prioritise tasks which ensures timely and successful completion. The Senior Ground Services Officer possesses good communication and interpersonal skills which allow him to work effectively with other officers and ensure adherence to expected service standards of the airline.",
Air Transport,Ground Services,Supervisor (Ground Services),"The Supervisor (Ground Services) enforces the delivery of quality customer services in line with the airlines brand identity and policies. He/She maintains the lines of communication with the various stakeholders during flight disruptions. He enforces passenger safety and security standards and investigates the root causes of all safety and security breaches. He manages staff disputes and provides coaching and feedback to improve the performance of the ground handling agents and officers. He is able to offer support proactively and help team members create training and career plans by assessing their strengths and developmental needs. The Supervisor (Ground Services) possesses excellent customer service skills, strong communication and interpersonal skills which allow him to maintain high service levels and respond to flight delays and disruptions. He develops solutions and considers issues holistically and systematically on the ground with his quick decision-making and problem-solving skills. He is detail-oriented in order to carry out checks and perform investigations for the organisation. He is highly motivated and results-oriented with a positive attitude whilst working in shifts",
Air Transport,Ground Services,Vice President,"The Vice President develops the airlines overall ground services strategies and operating models. He/She drives the end-to-end contracting processes with global ground handling organisations. He is in charge of aligning ground service operations with changing customer needs, new technological developments and the airlines brand identity. He drives new service improvement programmes to enhance services provided for the passengers and proffers inputs for strategic decisions regarding outsourcing and contracts. He is tasked with the establishment and approval of long-term vision and strategies for the organisation. As the Vice President for Ground Services, he has exceptional communication and interpersonal skills which allow him to build business and professional networks and communicate his strategic plans for the airline. He demonstrates remarkable leadership, organisational and people management skills in order to coach and lead his teams effectively. In addition, he is highly competent in negotiation and solving problems and is strong in service excellence in order to drive the creation of innovative and value-added services for the airline.",
Air Transport,Load Control Services,Executive (Load Control),"The Executive (Load Control) determines load sheet requirements with airlines and develops manpower plans to support load control operations. He/She performs regular audits to ensure that the calculation of load limits, distribution and flight performance data complies with Standard Operating Procedures (SOPs). He also recommends enhancements to address areas of non-compliance and improves operational efficiencies. He develops SOPs to ensure alignment with safety and regulatory requirements, and is responsible for manpower deployment, developing on-the-job training programmes and workplace learning plans. Besides holding an Airlines Load and Trim Certification to perform his duties, the Executive (Load Control) also possesses outstanding data management and analytical skills. Moreover, he is comfortable with number crunching and is resilient to unforeseen interruptions and stressful situations. He also has excellent verbal and written communication skills and strong people management skills in order to develop effective training programmes and learning plans for the teams.",In accordance with: Airlines' Load and Trim Certification
Air Transport,Load Control Services,Load Control Assistant,"The Load Control Assistant is responsible for performing calculations for the aircraft mass, balance, control and the centre of gravity for narrow-body aircraft. He/She troubleshoots issues encountered and identifies potential constraints or dangerous goods to be highlighted to the officers and supervisors during load control operations. He assists the officers and flight crew to acquire data related to flight performance and prepares the relevant paperwork. He also complies with all safety and/or security standards and reports any safety and/or security breaches. An Airlines Load and Trim Certification is required of the Load Control Assistant to perform his duties. He works in shifts to accommodate round-the-clock flight arrivals and departures. He possesses good computer skills to use the software required for load control operations to process large amounts of data. The Load Control Assistant is detail-oriented and resilient to unforeseen interruptions. He has good time management and communication skills in order to work effectively with the team and carry out his duties.",In accordance with: Airlines' Load and Trim Certification
Air Transport,Load Control Services,Load Control Officer,"The Load Control Officer calculates aircraft weight, balance and control of wide-body aircraft to determine load limits. He/She calculates aircraft performance data for takeoff, descent and landing, and reports any issues such as weight discrepancies to higher authorities. He also determines aircraft load limits by analysing aircraft types and the conditions affecting the flight during air operations. He prepares the load planning documentation and performs checks on the performance data documentation. He ensures the safety and security of the team and escalates reports of breaches. An Airlines Load and Trim Certification is required of the Load Control Officer to perform his duties. He works in shifts to accommodate round-the-clock flight arrivals and departures. He is proficient in computer literacy to utilise required software and manage large amounts of data for load control operations. In addition, he is detail-oriented and resilient to unforeseen interruptions. He is able to work in a fast-paced environment and handle stressful situations. The Load Control Officer also possesses good communication and interpersonal skills to work well with others.",In accordance with: Airlines' Load and Trim Certification
Air Transport,Load Control Services,Manager (Load Control),"The Manager (Load Control) drives collaborative efforts with other departments and airlines to improve load control operational standards. He/She is responsible for exploring new technologies to calculate load limits, distribution and flight performance data. He leads the development of Standard Operating Procedures (SOPs) and systems to mitigate safety and/or security risks, and monitors the adherence to safety and/or security standards. He also develops the teams technical capabilities and maintains positive morale within the teams. The Manager (Load Control) possesses remarkable interpersonal and stakeholder management skills to build and maintain relationships with internal and external stakeholders. He also has strategic thinking capabilities and foresight in order to formulate load control operations and improve processes for the organisation. In addition, he is adaptable to maintain operational effectiveness during stressful situations with strong analytical skills. He also possesses excellent communication, people management and time management skills.",In accordance with: Airlines' Load and Trim Certification
Air Transport,Load Control Services,Supervisor (Load Control),"The Supervisor (Load Control) oversees the smooth running of load control operations. He/She is expected to review calculations for aircraft mass, balance and control as well as the mass centre of gravity. He ensures the timely delivery of load sheets and conducts Quality Assurance (QA) checks on mass and balance measurements. He ensures load limits and distribution plans are developed in line with Standard Operating Procedures (SOPs). He investigates issues encountered during load control operations and proposes corrective measures to prevent their recurrence. He also serves as a mentor to team members and/or direct reports and is responsible for resolving conflicts, grievances and disputes among the team. A proficient understanding of load control procedures and airline requirements is expected of the Supervisor (Load Control). He requires an Airlines Load and Trim Certification to perform his duties and works in shifts to accommodate round-the-clock flight arrivals and departures. He is detail-oriented and adept in computer literacy to work with vast amounts of data. Additionally, he manages stressful situations and tight time constraints. To execute his mentorship and supervisory duties, he also possesses strong communication and interpersonal skills.",In accordance with: Airlines' Load and Trim Certification
Air Transport,Network Planning,Assistant Manager (Network Planning),"The Assistant Manager (Network Planning) manages flight network planning processes with other departments and oversees route studies to determine the feasibility of new flight routes. Using airline intelligence tools, he/she analyses the schedule capacity of other airlines and identifies underperforming rotations in flight networks. He is tasked with the design of flight schedules based on profitability of routes, airport constraints and airlines fleet constraints. He also acts as a mentor to other analysts in the teams. The Assistant Manager (Network Planning) possesses exceptional analytical skills to synthesise information into business recommendations for the airline. He has a thorough understanding of all airlines commercial and operational goals which allow him to recommend new routes and schedules. He has strong statistical and research skills and good computer literacy to run network planning software. In addition, he possesses excellent verbal and written communication skills for the preparation and presentation of reports. He also has excellent interpersonal skills to persuade and influence various stakeholders.",
Air Transport,Network Planning,Manager (Network Planning),"The Manager (Network Planning) is responsible for traffic rights negotiations and the development of short to mid-term network and aircraft fleet plans. He/She collaborates with other managers to develop long-term plans and determines the impact of flight networks on aircraft fleet requirements. He arbitrates commercial terms of contracts with internal and external stakeholders and takes charge of the schedule planning processes to secure arrival and departure time slots. He also attends world slot guideline conferences to negotiate slot coordination with external stakeholders. He modifies and recommends products and services to meet customers needs and cultivates close working relationships with airport agencies, authorities, customers and vendors. The Manager (Network Planning) has exceptional analytical skills and good commercial acumen to develop innovative solutions that can overcome tactical problems pertaining to network planning and scheduling. He participates in conferences and negotiations. He is detail-oriented and has deep industry expertise to anticipate customer needs. Furthermore, he possesses outstanding verbal and written communication skills for negotiating with senior internal and external stakeholders to meet the network optimisation plans of the organisation.",
Air Transport,Network Planning,Network Planning Analyst,"The Network Planning Analyst is responsible for evaluating and recommending new route opportunities to grow airline networks and aircraft fleet. He/She is able to develop short-term network plans for the current and upcoming schedule seasons. He conducts research to comprehend and review traffic rights and airport constraints of flight routes. He provides coaching, training and feedback to improve performance of junior analysts. The Network Planning Analyst has excellent verbal and written communication skills to prepare reports and propose new routes to internal stakeholders. He also possesses strong analytical skills to evaluate route performances and potential new routes. He has strong statistical and research skills and good computer literacy to run network planning software. In addition, he is able to obtain stakeholders buy-in with his strong presentation skills and possesses strong interpersonal skills to work effectively with other departments and team members.",
Air Transport,Network Planning,Vice President,"The Vice President develops the overall strategies governing the design of the airlines network plans and operating models. He/She is able to confer with senior stakeholders on decisions impacting future network plans. He is tasked with leading discussions with the aim of enhancing the airlines route performances and increasing agility of flight networks. He leads the optimisation of aircraft deployment, flight frequencies and timing to improve performance of the networks. He aligns human resources with business needs of the airline and formulates commercial strategies to meet the airlines objectives. He also develops and forges international networks to promote the organisations brand, products and services. As the Vice President for Network Planning, he possesses remarkable communication, analytical and problem-solving skills. He is equipped with strong people management skills to coach and lead his teams effectively and is able to handle changing environments and priorities. He also demonstrates a passion for building connections with industry stakeholders and other senior executives across the organisation. He possesses deep commercial acumen, strong leadership skills and exceptional speaking and writing abilities. With expertise in strategic planning, he is able to enhance the airline operations and flight networks.",
Air Transport,Passenger Services,Customer Services Agent,"The Customer Services Agent provides assistance to customers at check-in counters. He/She ensures that passengers details match the information on travel documents and handles customer issues regarding flight operations and automated check-in systems. To maintain a safe working environment, he complies with all safety and/or security standards and reports safety and/or security breaches to officers and supervisors. The Customer Services Agent demonstrates professional behaviour when responding to passenger complaints and acts as a service ambassador for the organisation. He works in shifts to accommodate round-the-clock flight arrivals and departures. He is physically strong to assist passengers with lifting of their baggage. Furthermore, he is service-oriented, possesses good communication skills as well as handles passengers with special needs in an appropriate manner.",
Air Transport,Passenger Services,Customer Services Officer,"The Customer Services Officer is responsible for the management of customer requests and for providing assistance to customers at first-class and premium check-in counters. He/She manages flight requests, verifies travel documents and works with other departments to resolve customer issues. To maintain a safe working environment, he ensures his team adheres to all safety and/or security standards and escalates safety breaches to supervisors and authorities. The Customer Services Officer demonstrates professional behaviour when responding to passenger complaints and acts as a service ambassador for the organisation. He works in shifts to accommodate round-the-clock flight arrivals and departures and is physically strong to assist passengers with lifting of their baggage. Moreover, he is detail-oriented, possesses excellent customer service and communication skills and handles passengers with special needs effectively.",
Air Transport,Passenger Services,Executive (Passenger Services),"The Executive (Passenger Services) identifies areas for service improvement through analysing customer data and reviewing policies and processes. He/She benchmarks customer satisfaction levels against industry norms and proposes mitigating actions to address gaps. He also improves service levels and develops plans to resolve safety and/or security breaches. He is also accountable for manpower deployment and developing on-the-job training programmes and workplace learning plans to improve the capabilities of teams. The Executive (Passenger Services) has an in-depth understanding of passenger needs and customer service standards of the organisation. He also works in a multicultural environment and engages with people at all levels. He is able to multi-task and manage resources to resolve issues within a tight time frame. Moreover, he possesses excellent communication, interpersonal and decision-making skills to oversee staff matters.",
Air Transport,Passenger Services,Manager (Passenger Services),"The Manager (Passenger Services) collaborates with stakeholders to develop strategies to improve customer service standards. He/She is responsible for driving continuous improvement and business development initiatives through recommending new products and services based on customer needs. He leads the development of Standard Operating Procedures (SOPs) and systems to enhance customer satisfaction, mitigates safety and/or security risks and oversees the adherence to safety and/or security standards. He also develops the teams technical capabilities and maintains positive morale within the teams. The Manager (Passenger Services) possesses an in-depth knowledge of international passenger services operational standards. He is also well-versed in policy and safety requirements and practices of the organisation. He has strong stakeholder management and people management skills to build relationships with various stakeholders of the organisation and lead staff and teams. In addition, he possesses remarkable communication, interpersonal and leadership skills with strategic thinking capabilities and foresight to formulate plans and systems for passenger services.",
Air Transport,Passenger Services,Supervisor (Passenger Services),"The Supervisor (Passenger Services) ensures that passenger services operations meet the required service level standards. He/She works closely with other departments to resolve complex customer issues and carries out regular safety and/or security checks to maintain a safe working environment. He also serves as a mentor to team members and/or direct reports and is responsible for resolving conflicts, grievances and disputes among the team. The Supervisor (Passenger Services) possesses a thorough understanding of airport and airline check-in requirements as well as operating standards and procedures for baggage handling systems. He also acts as a service ambassador for the organisation and works in shifts to accommodate round-the-clock flight arrivals and departures. He works well in a multicultural environment and deals with customers from different backgrounds professionally. Furthermore, he possesses excellent communication, interpersonal, customer service and people management skills.",
Air Transport,Passenger Services,Vice President,"The Vice President formulates strategies for passenger services operations to ensure performance levels are aligned with evolving customer needs, technological advancements, airline brand identity and business objectives. He/She is responsible for spearheading continuous improvement and business development initiatives to improve the profitability of the business. He leads the development of Standard Operating Procedures (SOPs) and systems to mitigate safety and/or security risks and plays a pivotal role in influencing organisational development by making key decisions on human capital needs. The Vice President for Passenger Services possesses exceptional leadership and stakeholder management skills to cultivate local and international relationships with senior stakeholders in the industry and further the business objectives of the organisation. Furthermore, he has an in-depth knowledge of the airports organisational structures, ground handling operations and safety and security regulations to enhance and augment passenger services and systems.",
Air Transport,Pilot Operations,Captain,"The Captain holds the authority to make final decisions regarding the operation of the aircraft. He/She is responsible for the safety and security of all crew members, passengers and freight on board. He provides guidance and support to the crew and ensures all technical duties are executed in accordance with the airline's regulations, operating policies and procedures. He verifies and signs off post-flight reports and endorses cabin crew incident reports. He oversees the flight crew in manual flying and takes over as pilot flying when flight conditions exceed the capabilities of the flight crew. He also acts as a mentor to First Officers. With extensive knowledge of the aviation industry, the Captain is also well-versed in operational manuals and airline safety regulations and standards. He is familiar with all applicable documentation and briefing materials for the intended routes of flights. He also promotes and represents the airline in accordance with organisational policies. Besides acquiring a valid pilot licence, the Captain has irregular work patterns and hours. He has acute hearing skills, even with ambient aircraft and passenger sounds. He has good visual acuity of 6/60 without optical aid, correctable to 6/6 and no colour blindness.",In accordance with: Commercial Pilot Licence (CPL)/Airline Transport Pilot Licence (ATPL)/Multi-Crew Pilot Licence (MPL)
Air Transport,Pilot Operations,Chief Pilot (Vice President),"The Chief Pilot (Vice President) formulates strategies to optimise aircraft activities and operations. He/She is accountable for designing the assessment and selection processes to recruit the flight crew. He collaborates with external agencies for regulatory audits and builds business and professional networks to establish international partnerships within the aviation industry. He also drives business development activities for the organisation, conceptualises new strategies to enhance passenger experiences and advances aviation safety standards. As the Chief Pilot (Vice President), he keeps abreast with government, local and international flight regulations as well as emerging trends and technologies within the aviation industry. In addition, he displays strong leadership skills, business acuity and exceptional written and verbal communication skills. The Chief Pilot (Vice President) also possesses a valid pilot licence with good visual acuity of 6/60 without optical aid, correctable to 6/6 and no colour blindness. He is able to hear clearly through any medium in an environment with ambient aircraft and passenger sounds.",In accordance with: Commercial Pilot Licence (CPL)/Airline Transport Pilot Licence (ATPL)/Multi-Crew Pilot Licence (MPL)
Air Transport,Pilot Operations,Deputy Chief Pilot / Management Pilot,"The Deputy Chief Pilot/Management Pilot provides leadership and oversight to meet all operational goals of the airline. He/She designs pilot training content and determines the airlines performance standards for flight crew. He is also tasked with managing complex manpower issues and leading implementation of change management initiatives for the organisation. He assures that all operational duties executed by flight crew adheres to the airline's regulations, operating policies and procedures. Having an in-depth knowledge of the different components of pilot operations manuals and safety regulations in aviation is imperative of the Deputy Chief Pilot/Management Pilot. He demonstrates good leadership skills which include managing the flight crew and guiding them in their duties. He has excellent communication and writing skills and is well acquainted with the aviation industry. He possesses a valid pilot licence including a good visual acuity of 6/60 without optical aid, correctable to 6/6 and no colour blindness. He also has the ability to hear clearly in an environment with ambient aircraft and passenger sounds.",In accordance with: Commercial Pilot Licence (CPL)/Airline Transport Pilot Licence (ATPL)/Multi-Crew Pilot Licence (MPL)
Air Transport,Pilot Operations,First Officer,"The First Officer is responsible for the safety, efficient operation and management of the aircraft. He/She carries out pre-flight checks of aircraft systems and monitors in-flight data to ensure smooth aircraft operations. He controls and navigates the aircraft across safe terrains and weather together with the Captain. He is able to manage flight emergencies in accordance with airline operating policies. After landing, he completes post-flight and shut-down reports and/or checklists. The First Officer possesses good communication skills which are necessary for giving clear and confident instructions to crew members and passengers. He is also has good writing skills for the preparation of proper documentation and reports. Besides having a valid pilot licence, the First Officer is able to work irregular hours. He has good hearing skills, even with ambient aircraft and passenger sounds. He possesses good visual acuity of 6/60 without optical aid, correctable to 6/6 and no colour blindness.",In accordance with: Commercial Pilot Licence (CPL)/Airline Transport Pilot Licence (ATPL)/Multi-Crew Pilot Licence (MPL)
Air Transport,Ramp and Technical Ramp Services,Executive (Ramp / Technical Ramp),"The Executive (Ramp/Technical Ramp) performs regular audits to ensure that ramp/technical ramp operations comply with Standard Operating Procedures (SOPs). He/She recommends enhancements to address areas of non-compliance, improves operational efficiencies and develops action plans to prevent safety and/or security issues from recurring. He also develops workplace learning plans and on-the-job training programmes to enhance the capabilities of teams. The Executive (Ramp/Technical Ramp) has a sound knowledge of airport operations and ramp/technical ramp procedures. He also has strong analytical abilities to identify root causes of ground handling related delays and their potential implications. He is results-oriented and possesses excellent communication and interpersonal skills. Furthermore, he has strong computer literacy skills and competence in learning orientation to determine learning and developmental needs of his team members.",
Air Transport,Ramp and Technical Ramp Services,Manager (Ramp / Technical Ramp),"The Manager (Ramp/Technical Ramp) leads collaboration efforts with airport agencies and airlines to improve ground handling standards and performance. He/She is responsible for updating Standard Operating Procedures (SOPs) to reflect changes in technology, regulatory requirements and performance expectations. He also leads the development of SOPs and systems to mitigate safety and/or security risks, and monitors adherence to safety and/or security standards. He develops the teams technical capabilities and maintains positive morale within the teams. In addition, he proposes new productivity and innovation initiatives for the organisation and develops partnerships with a broad group of internal and external stakeholders. The Manager (Ramp/Technical Ramp) possesses strong interpersonal and stakeholder management skills to build and maintain stakeholder relationships. He also has strategic thinking capabilities and foresight in order to formulate ramp/technical ramp operational plans. In addition, he is adaptable and responds to stressful situations within a tight time frame. The Manager (Ramp/Technical Ramp) also has excellent communication and people management skills with strong computer literacy.",
Air Transport,Ramp and Technical Ramp Services,Ramp Officer,"The Ramp Officer coordinates all ramp operations and requirements in compliance with Standard Operating Procedures (SOPs) and inspects Ground Support Equipment (GSE) to ensure that they are in working order. He/She ensures cargo and/or baggage are loaded on aircraft according to plans in a timely and efficient manner. He conducts bay sweeps and prepares flight reports to provide updates on ramp operations performance. He also executes safety measures and escalates safety and/or security breaches. Besides having a Class 3 Driving Licence and an Airfield Driving Permit (ADP) to operate vehicles and equipment, the Ramp Officer is able to work outdoors under all weather conditions as well as work in shifts to accommodate round-the-clock flight arrivals and departures. He is physically and mentally fit with good hearing and eyesight. He possesses good communication skills to work well with others. Under pressure, he is resourceful to ensure the smooth running of ramp operations.",In accordance with: Singapore Qualified Driving Licence (Class 3) and Airfield Driving Permit (ADP)
Air Transport,Ramp and Technical Ramp Services,Ramp Operator,"The Ramp Operator is tasked with operating Ground Support Equipment (GSE) during ramp operations. He/She clears the Equipment Restraint Area (ERA) before setting up the GSE and performs checks on GSE to ensure they are functioning optimally. He removes any hazards from the Equipment Staging Area (ESA), complies with all safety and/or security standards and reports safety and/or security breaches to officers and supervisors. Besides having a Class 3 Driving Licence and an Airfield Driving Permit (ADP) to operate vehicles and equipment, the Ramp Operator is able to work outdoors under all weather conditions as well as work in shifts to accommodate round-the-clock flight arrivals and departures. He is also physically and mentally fit with good hearing and eyesight. In addition, he has good time management, communication and interpersonal skills and is familiar with technological tools.",In accordance with: Singapore Qualified Driving Licence (Class 3) and Airfield Driving Permit (ADP)
Air Transport,Ramp and Technical Ramp Services,Supervisor (Ramp / Technical Ramp),"The Supervisor (Ramp/Technical Ramp) oversees the smooth running of ramp/technical ramp operations. He/She is responsible for managing manpower and equipment resources as well as resolving operational issues. He carries out periodic safety and/or security checks and investigate breaches. As a supervisor, he serves as a mentor to team members and/or direct reports and is responsible for resolving conflicts, grievances and disputes among the team. The Supervisor (Ramp/Technical Ramp) is proficient with technological tools and has a good understanding of customer and stakeholder needs. He possesses a Class 3 Driving Licence and an Airfield Driving Permit (ADP) to operate vehicles and equipment and works in shifts to accommodate round-the-clock flight arrivals and departures. He also has strong communication, interpersonal and supervisory skills to interact with people at all levels and good time management skills to handle stressful situations and tight time constraints.",In accordance with: Singapore Qualified Driving Licence (Class 3) and Airfield Driving Permit (ADP)
Air Transport,Ramp and Technical Ramp Services,Technical Ramp Officer,"The Technical Ramp Officer administers the manpower and Ground Support Equipment (GSE) deployment to handle daily flights requirements according to airlines Service Level Agreements (SLAs). He/She coordinates all technical ramp activities in compliance with airlines service standards and determines special handling requirements of incoming aircraft. He directs aircraft to designated locations and services them according to airline requirements. He also performs pushback, towing and marshalling of aircraft into position. He communicates with flight crew and conducts audits pertaining to technical ramp handling for each flight. He also executes safety measures and escalates safety and/or security breaches. Besides having a Class 3 Driving Licence and an Airfield Driving Permit (ADP) to operate vehicles and equipment, the Technical Ramp Officer works outdoors under all weather conditions as well as works in shifts to accommodate round-the-clock flight arrivals and departures. He is also physically and mentally fit with good hearing and eyesight. Furthermore, he possesses good communication and interpersonal skills to work in a team. Under pressure, he is detail-oriented to ensure the smooth running of technical ramp operations.",In accordance with: Singapore Qualified Driving Licence (Class 3) and Airfield Driving Permit (ADP)
Air Transport,Technical Services,Executive (Technical Services),The Executive (Technical Services) manages the full spectrum of technical maintenance operations for Ground Support Equipment (GSE). He/She oversees checks to ensure all technical maintenance works and disposal processes adhere to Standard Operating Procedures (SOPs) and provides technical advice on new GSE. He also monitors the achievement of work objectives and timelines against established maintenance plans. He develops action plans to address and prevent recurrence of safety and/or security breaches. He is also responsible for manpower deployment and developing on-the-job training programmes and workplace learning plans. The Executive (Technical Services) has expert knowledge of airport ground handling electronic and mechanical systems and maintenance processes. He is detail-oriented and able to manage various maintenance systems and tools. He also possesses excellent verbal and written communication skills to plan and develop training curriculum. The Executive (Technical Services) is adept in people management skills to oversee staff matters and ensure discipline during operations.,
Air Transport,Technical Services,Maintenance Technician,"The Maintenance Technician performs routine preventive maintenance and carries out repairs on Ground Support Equipment (GSE) according to maintenance plans. He/She provides updates on ad-hoc repairs and GSE functionality to officers and supervisors. To maintain a safe working environment, he complies with all safety and/or security standards and report breaches to officers and supervisors. Besides having a technical or engineering background in maintenance work, the Maintenance Technician is familiar with the functions of GSE. He also works in shifts to accommodate round-the-clock flight arrivals and departures. He is detail-oriented, physically fit to handle heavy equipment and shows initiative in performing his daily tasks.",
Air Transport,Technical Services,Manager (Technical Services),"The Manager (Technical Services) leads the development of operational strategies to improve the effectiveness of technical maintenance operations. He/She manages cross-departmental requirements for maintaining Ground Support Equipment (GSE). He leads the procurement of new GSE and collaborates with external Original Equipment Manufacturers (OEMs) to conduct training for the teams. He also drives continuous improvement and business development initiatives through recommending new products and services that meet customers needs. He develops Standard Operating Procedures (SOPs) and systems to mitigate safety and/or security risks and also develops the teams technical capabilities and maintains positive morale within the teams. The Manager (Technical Services) possesses strong stakeholder management and people management skills to build relationships with stakeholders of the organisation and lead his staff and teams. He also has an in-depth understanding of airport ground handling maintenance processes, systems and tools. He possesses outstanding verbal and written communication skills as well as a high proficiency in strategic thinking to formulate new plans and systems to enhance and augment GSE maintenance operations for the organisation.",
Air Transport,Technical Services,Supervisor (Technical Services),"The Supervisor (Technical Services) is responsible for ensuring that maintenance outcomes meet established maintenance plans, objectives and timelines. He/She performs quality checks on repair works and prepares analytical reports on the functionality of the Ground Support Equipment (GSE). As a leader to his team, he plays a mentoring role and delivers technical training to equip his team with relevant technical knowledge and skills. Moreover, he resolves conflicts, grievances and disputes among the team. He also enforces safety and/or security standards by carrying out periodic checks and investigating any breaches. The Supervisor (Technical Services) possesses a good working knowledge of electronic and mechanical systems used in airport ground handling operations and is proficient at working with maintenance systems and tools. He also works in shifts to accommodate round-the-clock flight arrivals and departures. In addition, he is adept in people management and interpersonal skills in order to facilitate training and mentoring of the team. He is also detail-oriented and possesses good verbal and written communication skills to manage a team and prepare accurate reports.",
